Transaction Amount,Transaction Country,Transaction Currency,Transaction Time,Transaction Day,Card Issuer,Card Type,Online Purchase,First Purchase,Customer Age,Account Age,Fraudulent
4494,AU,CAD,23,Weekday,Amex,Credit,1,1,22,0,1
9336,US,USD,5,Weekend,Amex,Credit,0,0,26,3,0
934,AU,AUD,11,Weekend,Discover,Debit,1,0,40,3,0
1461,CA,CAD,16,Weekday,MasterCard,Credit,0,0,28,2,0
2724,US,USD,4,Weekday,MasterCard,Credit,1,1,32,1,0
286,AU,USD,10,Weekend,Discover,Credit,0,0,42,7,0
265,US,USD,4,Weekend,Visa,Credit,0,0,34,5,0
6817,CA,GBP,11,Weekend,Discover,Debit,1,0,67,1,0
1763,Other,USD,2,Weekday,Visa,Credit,1,0,70,7,0
41,UK,CAD,23,Weekend,Discover,Credit,1,0,43,12,0
5828,AU,CAD,8,Weekday,Amex,Debit,1,0,31,7,0
8260,CA,USD,5,Weekday,Discover,Debit,1,0,56,6,0
988,CA,GBP,21,Weekend,Amex,Credit,1,0,65,7,0
7805,US,GBP,1,Weekday,Visa,Credit,0,0,26,8,0
7790,US,GBP,1,Weekend,Visa,Debit,1,1,44,2,1
5718,UK,CAD,21,Weekend,Amex,Debit,1,1,52,1,1
3199,US,GBP,11,Weekend,Amex,Credit,0,0,44,10,0
5375,AU,AUD,7,Weekend,MasterCard,Credit,1,0,70,12,0
4791,AU,AUD,1,Weekend,MasterCard,Credit,1,1,33,6,0
7184,AU,GBP,8,Weekday,Discover,Debit,1,1,39,1,0
2525,Other,AUD,15,Weekend,Amex,Debit,1,0,47,2,0
9278,AU,USD,14,Weekday,Visa,Credit,1,0,43,5,0
2480,US,GBP,13,Weekend,MasterCard,Credit,0,0,56,8,0
9886,US,GBP,19,Weekend,Amex,Debit,0,1,56,8,0
5155,AU,GBP,3,Weekend,Visa,Debit,1,1,69,12,1
779,CA,USD,3,Weekend,Visa,Debit,1,0,50,9,0
9778,CA,USD,10,Weekday,Amex,Debit,1,1,57,1,1
1493,CA,GBP,20,Weekend,Discover,Credit,0,0,18,0,0
661,UK,CAD,23,Weekend,MasterCard,Credit,1,0,29,5,0
1349,Other,CAD,17,Weekend,MasterCard,Debit,1,0,34,6,0
9492,AU,AUD,4,Weekday,Amex,Debit,1,0,42,7,0
7852,UK,USD,1,Weekend,Discover,Debit,0,1,46,12,0
7157,CA,AUD,14,Weekday,Visa,Debit,1,1,59,3,0
2045,AU,AUD,10,Weekend,Discover,Credit,1,0,45,6,0
7369,UK,GBP,23,Weekend,MasterCard,Debit,0,0,36,8,0
3517,US,CAD,16,Weekend,Amex,Credit,1,0,58,0,0
9251,CA,AUD,15,Weekend,MasterCard,Credit,0,0,27,2,0
9169,UK,GBP,14,Weekend,Amex,Credit,1,1,28,4,1
4578,US,USD,22,Weekend,Discover,Credit,1,0,27,11,0
728,CA,AUD,2,Weekend,MasterCard,Credit,1,0,47,6,0
7469,Other,CAD,19,Weekday,Discover,Debit,0,0,66,12,0
343,CA,USD,14,Weekend,MasterCard,Credit,0,0,24,4,0
1448,Other,GBP,23,Weekend,Discover,Debit,1,0,22,0,0
6582,Other,USD,18,Weekday,MasterCard,Debit,0,0,45,0,0
6318,Other,AUD,12,Weekend,Amex,Credit,1,0,37,0,0
527,AU,USD,15,Weekend,Discover,Debit,0,0,49,7,0
6749,AU,USD,22,Weekday,Discover,Debit,1,0,29,6,0
406,Other,USD,11,Weekend,Amex,Debit,0,0,22,2,0
7987,US,CAD,16,Weekend,Visa,Credit,1,0,47,3,0
9766,Other,AUD,15,Weekday,MasterCard,Credit,1,0,50,7,0
3741,UK,GBP,8,Weekday,MasterCard,Credit,0,1,27,11,0
1847,Other,CAD,5,Weekend,Amex,Debit,0,0,56,6,0
1479,AU,AUD,18,Weekday,MasterCard,Debit,1,0,44,6,0
772,AU,GBP,22,Weekday,Discover,Debit,1,1,29,12,0
5526,UK,GBP,12,Weekday,Discover,Debit,0,1,19,5,0
8771,UK,GBP,20,Weekend,Amex,Credit,1,0,47,8,0
194,CA,AUD,23,Weekend,Discover,Credit,1,0,58,5,0
2008,US,GBP,7,Weekday,Visa,Credit,0,0,22,12,0
1186,US,GBP,11,Weekday,MasterCard,Debit,0,0,54,0,0
2395,US,CAD,8,Weekday,Amex,Debit,0,0,31,4,0
9985,AU,GBP,21,Weekday,Amex,Debit,1,0,68,12,0
9303,US,USD,3,Weekend,MasterCard,Debit,1,0,43,7,0
4006,CA,CAD,12,Weekend,Visa,Credit,0,0,67,10,0
7430,CA,CAD,1,Weekend,Amex,Debit,1,1,25,10,1
2262,US,AUD,2,Weekend,MasterCard,Credit,1,0,48,5,0
3737,UK,GBP,4,Weekday,Visa,Credit,0,0,20,4,0
6717,CA,USD,23,Weekend,Amex,Debit,1,1,45,8,1
4876,UK,USD,17,Weekday,Visa,Credit,1,0,31,6,0
8922,AU,GBP,20,Weekday,Amex,Credit,0,0,28,12,0
4379,CA,GBP,13,Weekday,MasterCard,Debit,1,1,46,6,0
7816,UK,AUD,1,Weekday,MasterCard,Credit,1,0,57,0,0
3452,US,USD,14,Weekend,MasterCard,Debit,0,0,29,1,0
7617,AU,CAD,7,Weekday,Visa,Debit,0,0,60,11,0
9837,Other,AUD,15,Weekday,Discover,Credit,1,0,26,12,0
2801,Other,AUD,2,Weekday,Visa,Debit,1,0,53,9,0
8334,US,CAD,23,Weekday,MasterCard,Credit,1,0,36,4,0
5411,AU,AUD,19,Weekend,Amex,Credit,0,0,24,2,0
1456,AU,GBP,19,Weekday,Discover,Credit,0,0,34,7,0
6893,AU,CAD,22,Weekend,Visa,Credit,1,0,65,3,0
5809,AU,CAD,4,Weekday,Visa,Credit,0,0,68,6,0
6797,Other,USD,3,Weekend,Amex,Credit,0,0,40,4,0
4797,UK,CAD,22,Weekday,Amex,Debit,1,1,29,5,0
5094,AU,AUD,11,Weekday,MasterCard,Credit,1,0,24,6,0
1326,UK,USD,18,Weekend,Visa,Credit,0,1,42,7,0
4977,AU,AUD,14,Weekend,Amex,Debit,1,0,31,2,0
9406,CA,GBP,12,Weekend,Amex,Debit,0,0,48,2,0
1160,CA,GBP,4,Weekday,Discover,Credit,1,0,42,1,0
4651,CA,USD,11,Weekend,MasterCard,Debit,1,0,28,5,0
4988,AU,USD,18,Weekend,MasterCard,Credit,0,0,28,10,0
4698,UK,AUD,1,Weekday,Visa,Debit,1,1,24,1,0
341,Other,GBP,6,Weekend,Amex,Debit,1,1,60,0,1
3829,US,USD,22,Weekday,MasterCard,Debit,1,0,20,0,0
1969,Other,GBP,4,Weekday,Visa,Credit,1,0,32,8,0
704,AU,GBP,19,Weekend,MasterCard,Debit,0,1,20,0,0
5483,CA,GBP,10,Weekday,Visa,Debit,0,1,70,6,0
6377,CA,AUD,17,Weekday,Amex,Credit,1,0,58,4,0
1801,UK,AUD,17,Weekday,MasterCard,Credit,1,1,34,5,0
5464,AU,GBP,6,Weekday,Visa,Debit,1,0,66,9,0
4913,Other,GBP,9,Weekend,Visa,Debit,1,0,61,8,0
4649,AU,GBP,22,Weekend,Amex,Debit,1,1,24,2,1
856,AU,CAD,19,Weekday,MasterCard,Credit,0,0,28,5,0
2867,CA,CAD,13,Weekend,Visa,Credit,1,0,63,6,0
183,Other,AUD,19,Weekday,Visa,Debit,0,0,37,1,0
3113,US,GBP,19,Weekend,Visa,Credit,1,0,18,5,0
5671,CA,CAD,10,Weekend,Visa,Debit,1,0,49,5,0
4493,Other,USD,1,Weekday,MasterCard,Debit,1,0,55,4,0
5824,UK,USD,12,Weekday,Discover,Credit,1,0,38,6,0
1518,CA,GBP,12,Weekday,MasterCard,Credit,0,0,48,8,0
5003,UK,CAD,8,Weekday,Visa,Credit,0,0,34,6,0
1357,CA,USD,16,Weekend,MasterCard,Credit,1,1,42,1,0
3630,AU,AUD,14,Weekday,MasterCard,Debit,1,1,58,3,0
3629,Other,USD,23,Weekend,Amex,Debit,0,0,50,0,0
8211,UK,AUD,21,Weekend,Amex,Credit,1,0,29,1,0
6133,CA,USD,22,Weekday,Visa,Debit,1,0,69,8,0
9325,UK,USD,20,Weekend,Discover,Credit,1,0,45,11,0
6589,CA,CAD,21,Weekday,Amex,Credit,1,0,66,6,0
3312,CA,USD,21,Weekday,MasterCard,Debit,1,0,43,10,0
6049,US,USD,15,Weekend,Visa,Credit,1,1,53,7,1
6247,US,AUD,9,Weekday,Discover,Debit,1,1,25,7,0
988,US,AUD,19,Weekday,Amex,Credit,1,0,49,10,0
3322,UK,USD,11,Weekday,Visa,Debit,0,0,68,11,0
4616,AU,GBP,4,Weekend,Discover,Credit,1,1,68,1,1
8366,CA,USD,19,Weekend,Visa,Debit,1,0,43,4,0
3742,Other,USD,16,Weekday,Discover,Credit,1,0,22,0,0
3053,US,CAD,9,Weekday,Amex,Credit,0,0,60,12,0
6575,UK,USD,5,Weekend,MasterCard,Credit,1,0,55,8,0
727,UK,USD,20,Weekend,MasterCard,Debit,0,1,30,4,0
3761,UK,AUD,19,Weekday,Amex,Credit,1,0,36,0,0
5807,Other,AUD,5,Weekend,Amex,Credit,0,0,23,10,0
1876,Other,AUD,11,Weekday,Amex,Credit,1,1,62,6,1
6994,US,AUD,20,Weekday,Discover,Credit,0,0,23,8,0
4034,Other,USD,18,Weekday,Discover,Credit,1,0,33,0,0
5444,US,GBP,1,Weekend,Discover,Debit,1,0,46,11,0
990,Other,CAD,12,Weekend,Discover,Debit,1,0,35,11,0
3745,Other,CAD,21,Weekend,Discover,Debit,0,1,49,0,1
8612,Other,GBP,19,Weekday,Discover,Credit,1,0,46,0,0
594,US,GBP,10,Weekend,Discover,Debit,0,1,60,6,0
1775,CA,CAD,14,Weekend,Amex,Credit,1,1,69,9,1
936,US,USD,12,Weekday,Discover,Debit,1,0,34,2,0
3809,CA,CAD,2,Weekend,Visa,Debit,0,1,59,8,0
332,UK,GBP,13,Weekday,Discover,Debit,1,0,65,8,0
7923,UK,USD,7,Weekday,MasterCard,Credit,1,1,22,6,1
2703,US,CAD,8,Weekend,MasterCard,Credit,1,0,49,2,0
5890,CA,USD,14,Weekend,Amex,Credit,0,0,46,9,0
5055,CA,USD,22,Weekday,MasterCard,Debit,1,0,46,7,0
3869,CA,GBP,17,Weekend,MasterCard,Credit,1,1,59,5,1
4201,UK,AUD,7,Weekend,MasterCard,Credit,0,0,20,3,0
202,US,CAD,10,Weekend,Amex,Debit,1,0,68,7,0
2498,AU,GBP,4,Weekday,Amex,Debit,0,0,21,11,0
1843,CA,CAD,14,Weekday,Discover,Credit,0,0,61,2,0
9102,CA,AUD,14,Weekend,MasterCard,Debit,0,0,42,0,0
4659,AU,AUD,6,Weekday,Discover,Credit,1,0,39,3,0
7545,US,AUD,20,Weekend,Amex,Debit,0,0,59,8,0
7719,CA,AUD,17,Weekend,Discover,Credit,1,0,28,6,0
771,US,CAD,11,Weekend,Discover,Credit,0,0,25,12,0
3156,CA,USD,11,Weekend,MasterCard,Debit,0,1,44,0,0
1629,Other,USD,3,Weekday,Amex,Debit,0,0,61,11,0
387,CA,AUD,10,Weekend,MasterCard,Credit,1,0,63,0,0
6032,Other,AUD,20,Weekday,Discover,Debit,0,0,70,0,0
6440,US,USD,5,Weekday,Amex,Credit,0,0,39,5,0
6402,CA,GBP,20,Weekend,Discover,Debit,0,0,20,9,0
4009,UK,AUD,9,Weekend,Discover,Credit,0,0,44,9,0
2467,UK,USD,14,Weekday,MasterCard,Debit,1,1,28,8,0
2283,AU,GBP,0,Weekend,Amex,Credit,1,0,44,10,0
1857,UK,USD,16,Weekend,Amex,Debit,0,1,24,2,0
7981,Other,GBP,2,Weekday,MasterCard,Credit,0,0,44,10,0
1999,UK,CAD,10,Weekday,Visa,Credit,1,0,64,2,0
5477,UK,GBP,17,Weekday,MasterCard,Debit,0,0,28,11,0
9429,UK,AUD,9,Weekend,MasterCard,Debit,1,0,42,10,0
4670,CA,GBP,20,Weekend,Visa,Credit,0,0,56,11,0
9343,AU,GBP,8,Weekday,Amex,Credit,1,0,68,6,0
4319,US,AUD,6,Weekday,Visa,Debit,0,0,33,10,0
7065,AU,CAD,10,Weekend,Discover,Debit,1,0,38,5,0
7447,Other,GBP,7,Weekday,Discover,Credit,0,0,43,8,0
1432,CA,CAD,1,Weekday,MasterCard,Credit,0,0,44,2,0
5625,CA,USD,4,Weekend,Discover,Credit,1,0,68,6,0
7462,UK,USD,8,Weekday,Visa,Debit,0,0,62,6,0
1820,UK,AUD,0,Weekend,Discover,Debit,0,1,70,8,0
1131,Other,CAD,16,Weekday,Amex,Credit,0,0,34,5,0
6564,CA,AUD,9,Weekend,MasterCard,Debit,1,0,48,8,0
2659,US,AUD,7,Weekend,MasterCard,Credit,0,0,31,5,0
3501,AU,GBP,17,Weekday,Amex,Credit,0,0,40,1,0
8567,CA,USD,9,Weekday,Amex,Debit,1,1,19,5,1
2121,US,AUD,8,Weekday,MasterCard,Debit,1,0,43,12,0
4021,US,GBP,3,Weekend,Amex,Debit,1,1,43,4,1
3260,AU,GBP,1,Weekday,Discover,Credit,1,0,39,5,0
1824,US,CAD,18,Weekend,Discover,Debit,1,0,59,8,0
1475,Other,USD,9,Weekday,Discover,Debit,0,0,45,5,0
2243,US,CAD,16,Weekend,Discover,Debit,1,0,23,4,0
3244,Other,CAD,2,Weekday,Visa,Credit,0,0,65,4,0
6991,US,AUD,20,Weekend,Visa,Credit,0,0,56,2,0
5161,UK,CAD,18,Weekend,Visa,Credit,0,0,36,12,0
3135,US,AUD,18,Weekend,Visa,Debit,1,0,38,4,0
2071,Other,CAD,21,Weekend,Discover,Credit,1,0,59,4,0
360,US,GBP,18,Weekend,Discover,Credit,1,0,37,9,0
1142,US,USD,18,Weekend,Amex,Credit,1,1,48,12,1
1636,US,USD,14,Weekday,Visa,Debit,1,0,44,2,0
4001,Other,USD,17,Weekend,Visa,Credit,1,0,32,6,0
3362,US,GBP,16,Weekday,MasterCard,Credit,1,0,61,7,0
6584,AU,GBP,9,Weekday,Amex,Credit,1,0,48,11,0
7836,AU,CAD,23,Weekday,Discover,Debit,0,0,26,6,0
7,Other,CAD,13,Weekday,Amex,Credit,1,0,67,1,0
3268,UK,CAD,18,Weekday,Amex,Credit,0,0,34,10,0
6565,AU,CAD,22,Weekday,MasterCard,Credit,1,1,36,6,1
9784,CA,USD,17,Weekday,MasterCard,Debit,1,1,49,0,0
4929,AU,CAD,10,Weekend,Amex,Debit,0,1,27,2,0
2607,CA,GBP,10,Weekday,Visa,Credit,0,1,57,11,0
5907,Other,GBP,11,Weekday,Discover,Credit,1,0,69,9,0
3274,UK,GBP,7,Weekend,MasterCard,Credit,1,1,22,3,0
7612,CA,AUD,15,Weekend,MasterCard,Debit,0,0,30,5,0
914,CA,AUD,23,Weekday,Discover,Debit,0,0,70,8,0
2012,AU,AUD,7,Weekend,MasterCard,Debit,0,1,44,8,0
1443,CA,CAD,23,Weekday,Amex,Debit,1,0,19,5,0
5547,Other,USD,13,Weekend,Discover,Credit,1,1,18,8,1
1830,Other,USD,22,Weekday,Visa,Credit,0,0,25,5,0
8768,Other,CAD,17,Weekend,MasterCard,Debit,1,0,27,6,0
6469,AU,CAD,23,Weekday,MasterCard,Debit,1,0,45,5,0
930,UK,AUD,20,Weekend,Amex,Debit,0,0,22,2,0
3700,AU,GBP,21,Weekday,Visa,Credit,0,1,67,10,0
9656,Other,GBP,3,Weekend,MasterCard,Debit,1,1,19,12,1
1055,AU,AUD,16,Weekend,Discover,Debit,1,0,58,0,0
5745,Other,AUD,12,Weekend,Discover,Debit,0,0,65,3,0
1901,US,USD,4,Weekend,Amex,Debit,1,0,69,0,0
9650,US,AUD,2,Weekend,Amex,Debit,1,0,70,9,0
6981,CA,GBP,8,Weekday,MasterCard,Credit,0,0,34,10,0
7070,UK,GBP,19,Weekday,Amex,Debit,0,0,65,0,0
9592,US,CAD,17,Weekday,Discover,Debit,0,0,50,4,0
3416,Other,USD,19,Weekend,Amex,Credit,1,0,42,7,0
443,AU,CAD,18,Weekend,Discover,Debit,0,1,22,0,0
6219,AU,USD,18,Weekend,MasterCard,Debit,0,0,45,4,0
4653,CA,CAD,20,Weekday,Discover,Debit,0,0,68,10,0
7940,AU,USD,15,Weekday,Amex,Credit,1,0,35,7,0
7834,US,AUD,0,Weekday,Discover,Debit,0,0,40,2,0
9371,AU,GBP,4,Weekend,Discover,Credit,1,1,69,12,1
7598,US,AUD,23,Weekend,Visa,Credit,0,0,52,5,0
4459,US,USD,14,Weekend,Visa,Debit,1,1,35,6,0
6592,UK,USD,11,Weekday,MasterCard,Credit,1,0,28,9,0
9450,CA,CAD,0,Weekend,Discover,Debit,0,0,60,7,0
2310,Other,USD,13,Weekend,Discover,Credit,0,0,60,2,0
6269,US,AUD,17,Weekend,Discover,Credit,0,1,27,12,0
911,CA,USD,17,Weekday,Visa,Credit,0,0,27,10,0
4341,Other,USD,5,Weekday,Discover,Debit,1,0,53,0,0
4010,AU,CAD,0,Weekday,Visa,Debit,0,1,26,11,0
6629,CA,USD,16,Weekend,MasterCard,Credit,1,0,59,9,0
2170,CA,CAD,17,Weekend,Discover,Debit,0,1,30,7,0
2173,CA,GBP,14,Weekday,Discover,Credit,0,1,40,3,0
5669,AU,CAD,11,Weekend,Amex,Debit,0,0,18,1,0
6314,AU,USD,12,Weekend,Visa,Credit,0,0,33,0,0
8316,CA,GBP,19,Weekend,Amex,Debit,0,0,36,12,0
8037,UK,USD,1,Weekday,MasterCard,Credit,1,1,29,5,0
6790,US,CAD,3,Weekday,Visa,Debit,0,0,22,12,0
786,AU,AUD,2,Weekday,Discover,Debit,1,0,22,12,0
6140,UK,GBP,18,Weekend,Discover,Debit,1,0,24,0,0
6345,AU,AUD,7,Weekday,Discover,Debit,1,0,61,5,0
2417,CA,AUD,11,Weekday,Discover,Debit,1,0,31,11,0
8989,UK,GBP,11,Weekday,MasterCard,Credit,1,0,50,7,0
4155,Other,AUD,9,Weekday,Discover,Credit,0,0,23,2,0
5620,US,AUD,0,Weekday,Discover,Debit,0,1,35,5,0
1937,US,AUD,4,Weekend,Discover,Debit,1,0,23,5,0
3808,AU,AUD,19,Weekend,Amex,Credit,0,0,68,4,0
7152,US,GBP,10,Weekend,MasterCard,Debit,1,0,47,2,0
9494,Other,USD,8,Weekend,Visa,Debit,0,0,29,11,0
3237,UK,AUD,13,Weekend,MasterCard,Debit,1,0,67,10,0
2353,UK,GBP,2,Weekend,MasterCard,Debit,1,0,52,10,0
1933,CA,GBP,4,Weekday,MasterCard,Credit,1,0,28,5,0
8557,UK,GBP,23,Weekend,Discover,Debit,1,0,21,10,0
4917,AU,GBP,20,Weekend,Amex,Credit,0,1,30,0,0
5499,Other,CAD,8,Weekend,Amex,Credit,0,0,18,3,0
947,CA,USD,17,Weekend,Amex,Credit,1,0,69,10,0
9570,AU,USD,5,Weekend,Amex,Credit,1,0,55,12,0
1440,AU,AUD,20,Weekend,Visa,Debit,1,0,70,7,0
7731,AU,GBP,6,Weekend,Amex,Credit,1,0,46,12,0
4858,US,CAD,15,Weekend,Discover,Debit,0,0,31,5,0
341,AU,GBP,7,Weekday,Discover,Debit,1,1,38,3,0
383,US,AUD,22,Weekend,Amex,Credit,1,0,58,5,0
9749,UK,USD,9,Weekend,Visa,Credit,0,0,48,0,0
8492,US,AUD,4,Weekend,Amex,Debit,1,0,58,2,0
139,AU,AUD,10,Weekend,Discover,Debit,0,0,24,6,0
359,Other,AUD,20,Weekend,Discover,Credit,1,0,32,0,0
4932,Other,AUD,12,Weekday,Discover,Credit,1,1,59,11,1
9715,UK,AUD,19,Weekday,MasterCard,Debit,1,0,26,1,0
3457,AU,AUD,1,Weekday,Discover,Credit,0,1,46,12,0
1628,US,AUD,13,Weekday,Amex,Credit,0,0,41,10,0
9496,Other,USD,8,Weekday,Discover,Debit,1,0,32,2,0
6627,CA,USD,9,Weekend,Visa,Debit,1,0,38,3,0
5005,AU,GBP,9,Weekday,MasterCard,Debit,0,0,58,11,0
9327,AU,GBP,9,Weekday,Visa,Debit,0,1,41,5,0
6653,CA,CAD,18,Weekday,Discover,Debit,1,0,24,8,0
6417,Other,CAD,10,Weekday,MasterCard,Debit,0,0,41,12,0
3171,CA,USD,10,Weekend,MasterCard,Credit,0,0,40,0,0
3836,UK,USD,2,Weekend,MasterCard,Debit,1,1,42,3,0
8018,US,CAD,18,Weekday,Discover,Debit,1,1,25,12,0
2152,US,USD,23,Weekend,Visa,Debit,0,0,51,3,0
9430,Other,CAD,21,Weekend,Discover,Credit,1,0,52,5,0
6906,CA,GBP,0,Weekend,MasterCard,Credit,0,0,39,0,0
2835,AU,USD,11,Weekend,Discover,Debit,0,0,51,8,0
9191,AU,USD,14,Weekday,MasterCard,Debit,1,0,45,0,0
2568,AU,CAD,13,Weekend,MasterCard,Credit,1,1,18,9,1
1308,UK,AUD,2,Weekend,MasterCard,Credit,1,0,61,0,0
8849,UK,AUD,19,Weekday,Discover,Debit,0,0,54,2,0
2661,AU,GBP,12,Weekday,Discover,Credit,0,0,47,0,0
3731,Other,USD,17,Weekend,MasterCard,Credit,0,0,67,3,0
6208,UK,USD,15,Weekday,Amex,Credit,0,0,42,6,0
3163,UK,CAD,5,Weekday,Visa,Debit,1,0,68,8,0
1141,US,AUD,9,Weekday,MasterCard,Credit,1,0,19,11,0
8459,US,AUD,16,Weekday,MasterCard,Credit,1,0,45,3,0
1709,Other,GBP,16,Weekend,MasterCard,Debit,1,0,65,5,0
3631,UK,AUD,7,Weekday,MasterCard,Credit,1,1,45,12,0
3212,UK,AUD,3,Weekend,MasterCard,Credit,0,0,40,1,0
6539,CA,AUD,14,Weekday,Amex,Credit,0,0,55,6,0
9703,Other,CAD,0,Weekend,Discover,Debit,1,0,41,11,0
476,Other,AUD,6,Weekday,Amex,Debit,1,0,52,11,0
7685,CA,GBP,9,Weekday,MasterCard,Debit,1,0,25,7,0
9169,CA,AUD,6,Weekday,MasterCard,Credit,1,0,53,2,0
1208,US,GBP,0,Weekend,MasterCard,Credit,0,1,35,0,0
1961,Other,CAD,16,Weekend,Discover,Credit,0,0,37,1,0
558,Other,CAD,11,Weekday,Visa,Debit,1,0,21,1,0
883,CA,GBP,16,Weekday,Visa,Debit,1,0,25,5,0
4762,AU,CAD,14,Weekday,Amex,Credit,1,0,43,6,0
5868,AU,USD,23,Weekend,Amex,Debit,1,0,56,4,0
6964,US,USD,15,Weekend,Visa,Debit,0,0,37,11,0
7167,AU,USD,22,Weekend,MasterCard,Credit,0,0,35,11,0
7930,AU,USD,13,Weekend,Discover,Credit,1,0,50,10,0
5348,AU,USD,2,Weekday,Amex,Debit,1,0,35,9,0
7270,UK,CAD,18,Weekend,Discover,Debit,0,0,51,0,0
9803,US,GBP,11,Weekend,MasterCard,Debit,0,0,36,12,0
8126,CA,CAD,18,Weekday,MasterCard,Credit,0,0,59,4,0
2455,AU,AUD,17,Weekday,Amex,Debit,1,0,70,12,0
4495,UK,USD,13,Weekend,Visa,Credit,1,1,50,12,1
1947,AU,USD,19,Weekend,Visa,Debit,1,0,38,7,0
2809,UK,CAD,22,Weekday,Visa,Debit,0,0,24,9,0
6643,US,AUD,8,Weekend,MasterCard,Credit,1,0,31,11,0
3826,AU,CAD,2,Weekday,MasterCard,Credit,0,0,50,1,0
3537,UK,GBP,22,Weekend,Discover,Debit,0,1,21,7,0
6069,Other,USD,11,Weekend,Discover,Debit,1,0,60,5,0
3803,Other,CAD,19,Weekend,Discover,Credit,0,0,19,0,0
4700,UK,GBP,16,Weekday,MasterCard,Debit,0,0,57,12,0
1971,AU,USD,4,Weekend,Visa,Credit,1,1,67,9,1
5807,AU,USD,7,Weekday,MasterCard,Credit,0,0,48,8,0
6143,US,USD,18,Weekday,Discover,Debit,1,0,66,10,0
2820,US,AUD,3,Weekend,Discover,Credit,0,1,63,7,0
9095,CA,CAD,14,Weekend,Discover,Credit,1,1,47,4,1
365,US,USD,18,Weekend,Discover,Debit,1,0,67,3,0
4259,AU,USD,14,Weekday,Amex,Debit,0,0,27,11,0
3120,CA,GBP,13,Weekend,Discover,Debit,1,1,69,11,0
1864,US,CAD,15,Weekday,MasterCard,Debit,0,0,38,0,0
116,UK,GBP,23,Weekday,Amex,Debit,1,1,67,1,0
7085,Other,CAD,9,Weekend,Visa,Debit,1,0,69,4,0
8017,US,USD,23,Weekend,MasterCard,Debit,1,0,40,4,0
2385,US,AUD,13,Weekend,MasterCard,Debit,0,0,54,7,0
3936,UK,GBP,19,Weekend,Visa,Debit,0,0,25,4,0
7743,AU,AUD,10,Weekday,MasterCard,Credit,0,1,27,4,0
5443,UK,AUD,1,Weekend,Amex,Debit,1,0,42,2,0
2491,US,AUD,18,Weekday,Visa,Credit,1,0,50,6,0
6981,AU,CAD,2,Weekend,Amex,Debit,0,0,34,5,0
9135,CA,CAD,3,Weekday,Discover,Debit,0,0,68,4,0
7662,US,AUD,10,Weekday,Visa,Credit,0,1,41,10,0
1725,UK,USD,12,Weekday,Amex,Credit,0,1,66,1,0
8183,CA,USD,17,Weekday,Discover,Credit,1,1,59,3,1
2768,Other,AUD,17,Weekend,Amex,Credit,0,0,67,2,0
1138,CA,GBP,18,Weekend,Amex,Debit,1,0,47,11,0
4118,UK,GBP,11,Weekend,MasterCard,Debit,0,0,18,11,0
3421,CA,CAD,0,Weekend,Discover,Debit,1,1,34,6,0
5846,UK,GBP,23,Weekday,MasterCard,Debit,0,0,45,8,0
4779,US,USD,5,Weekend,Discover,Debit,1,0,30,2,0
3907,AU,AUD,2,Weekday,Discover,Debit,1,0,27,6,0
3638,Other,GBP,16,Weekday,MasterCard,Credit,1,0,18,12,0
2954,AU,AUD,2,Weekday,MasterCard,Debit,1,0,37,8,0
5930,AU,GBP,0,Weekday,MasterCard,Credit,0,0,24,4,0
277,AU,CAD,2,Weekday,Discover,Debit,0,0,49,7,0
2000,UK,USD,3,Weekday,Discover,Debit,1,0,38,7,0
1228,UK,CAD,5,Weekday,Discover,Credit,1,0,43,11,0
6338,Other,AUD,6,Weekday,Discover,Debit,0,0,62,6,0
3736,UK,USD,22,Weekday,Discover,Debit,1,0,70,0,0
696,UK,USD,7,Weekday,Discover,Credit,1,0,24,4,0
9502,UK,CAD,12,Weekday,Amex,Credit,0,0,55,12,0
4153,UK,GBP,3,Weekend,MasterCard,Debit,0,0,62,9,0
7902,US,CAD,5,Weekday,Discover,Credit,0,0,57,8,0
7471,Other,AUD,10,Weekend,Amex,Credit,0,1,65,8,1
7538,UK,GBP,0,Weekday,Visa,Credit,1,1,58,11,1
2842,Other,CAD,7,Weekday,Amex,Debit,0,0,62,5,0
4209,CA,CAD,21,Weekday,MasterCard,Credit,1,0,44,7,0
8734,US,GBP,1,Weekday,Visa,Debit,1,0,51,3,0
1089,UK,GBP,7,Weekday,Discover,Credit,1,1,29,8,0
3364,US,GBP,19,Weekend,MasterCard,Credit,1,0,29,1,0
25,US,CAD,8,Weekend,Visa,Credit,1,0,32,1,0
9765,CA,GBP,3,Weekday,Amex,Credit,1,0,37,6,0
6145,Other,GBP,16,Weekday,Visa,Debit,0,0,27,3,0
5669,US,GBP,6,Weekday,MasterCard,Debit,0,0,63,10,0
4237,AU,USD,9,Weekend,Visa,Debit,1,0,43,12,0
9960,CA,AUD,4,Weekend,Amex,Credit,0,0,34,3,0
8069,AU,GBP,9,Weekday,Visa,Credit,0,0,27,1,0
2236,CA,AUD,11,Weekday,Amex,Credit,1,0,28,8,0
7296,AU,GBP,20,Weekday,Visa,Debit,0,0,34,1,0
8393,AU,GBP,19,Weekend,Amex,Credit,1,0,28,8,0
8449,US,USD,5,Weekday,Amex,Credit,0,0,32,11,0
3748,US,USD,0,Weekday,Amex,Debit,1,1,21,4,0
3176,CA,GBP,2,Weekday,Discover,Credit,1,0,42,4,0
